project.link,project.notes,project.llmbase,project.rlbase,project.license,org.name,org.link,org.notes,opencode.class,opencode.link,opencode.notes,llmdata.class,llmdata.link,llmdata.notes,llmweights.class,llmweights.link,llmweights.notes,rldata.class,rldata.link,rldata.notes,rlweights.class,rlweights.link,rlweights.notes,license.class,license.link,license.notes,code.class,code.link,code.notes,architecture.class,architecture.link,architecture.notes,preprint.class,preprint.link,preprint.notes,paper.class,paper.link,paper.notes,modelcard.class,modelcard.link,modelcard.notes,datasheet.class,datasheet.link,datasheet.notes,package.class,package.link,package.notes,api.class,api.link,api.notes,source.file,openness
https://huggingface.co/mosaicml/mpt-30b-instruct,,MosaicML,"dolly, anthropic",CC-By-SA-3.0,MosaicML,https://www.mosaicml.com,,open,https://github.com/mosaicml/llm-foundry/tree/main/llmfoundry/models/mpt,Codebase part of LLM foundry,partial,https://huggingface.co/datasets/c4,C4 is part of the dataset but a precise specification of source data is hard to find,open,https://huggingface.co/mosaicml/mpt-30b-instruct/tree/main,Weights available via HuggingFace,partial,https://huggingface.co/datasets/mosaicml/dolly_hhrlhf,"dolly-hhrlhf, combination of Databrick dolly-15k dataset and a filtered subset of Anthropic HH-RLHF",closed,,,open,,CC-by-SA 3.0,open,https://github.com/mosaicml/llm-foundry/,LLM Foundry codebase is well-documented and in active development.,partial,https://huggingface.co/mosaicml/mpt-30b-instruct,Architecture reasonably well-documented,closed,,,closed,,,partial,https://huggingface.co/mosaicml/mpt-30b-instruct,Modelcard is somewhat lacking in detail,closed,https://www.mosaicml.com/blog/mpt-30b,Datasheet not available; data somewhat documented in blog post at link,open,,,partial,,API via HuggingFace,/projects/MPT-30b-instruct.yaml,7.5
https://huggingface.co/mosaicml/mpt-7b-instruct,,MosaicML,"dolly, anthropic",CC-By-SA-3.0,MosaicML,https://www.mosaicml.com,,open,https://github.com/mosaicml/llm-foundry/tree/main/llmfoundry/models/mpt,Codebase part of LLM foundry,partial,https://huggingface.co/datasets/c4,C4 is part of the dataset but a precise specification of source data is hard to find,open,https://huggingface.co/mosaicml/mpt-7b-instruct/tree/main,Weights available via HuggingFace,partial,https://huggingface.co/datasets/mosaicml/dolly_hhrlhf,"dolly-hhrlhf, combination of Databrick dolly-15k dataset and a filtered subset of Anthropic HH-RLHF",closed,,,open,,CC-by-SA 3.0,open,https://github.com/mosaicml/llm-foundry/,LLM Foundry codebase is well-documented and in active development,partial,https://huggingface.co/mosaicml/mpt-7b-instruct,Architecture reasonably well-documented,closed,,,closed,,,open,https://huggingface.co/mosaicml/mpt-7b-instruct,,closed,,,open,,,closed,,,/projects/MPT-7b-instruct.yaml,7.5
https://github.com/CarperAI/trlx,,"various (pythia, flan, OPT)",various,MIT license,carperai,https://github.com/CarperAI/trlx,,open,,,open,,,open,,,partial,,,closed,,,open,,,open,,,partial,,,closed,,,closed,,,closed,,,closed,,,partial,,,open,,,/projects/trlx.yaml,7.5
https://huggingface.co/Intel/neural-chat-7b-v3-1,A mistral-based Orca-finetuned chat model,Mistral 7B,Orca,Apache 2.0,Intel,https://community.intel.com/t5/Blogs/Tech-Innovation/Artificial-Intelligence-AI/NeuralChat-A-Customizable-Chatbot-Framework/post/1526789,,partial,https://github.com/intel/intel-extension-for-transformers/tree/main/intel_extension_for_transformers/neural_chat/examples/finetuning/finetune_neuralchat_v3,"Mistral base model is not open, but repo gives sample code for fine-tuning based on that",closed,,Mistral has not disclosed anything about its training data,open,https://huggingface.co/mistralai/Mistral-7B-v0.1,Based on Mistral 7B 0.1,open,https://huggingface.co/datasets/Open-Orca/SlimOrca,RL dataset used for post-training is shared and available,open,https://huggingface.co/Intel/neural-chat-7b-v3-1/tree/main,finetuned model made openly available by Intel,open,https://huggingface.co/Intel/neural-chat-7b-v3-1/blob/main/LICENSE,Apache 2.0,partial,https://github.com/intel/intel-extension-for-transformers/tree/main/intel_extension_for_transformers/neural_chat/examples/finetuning/finetune_neuralchat_v3#how-to-train-intelneural-chat-7b-v3-1-on-intel-gaudi2,"Mistral remains closed so only documentation pertains to fine-tuning steps, but that code is quite well documented, so partial.",partial,https://medium.com/intel-analytics-software/the-practice-of-supervised-finetuning-and-direct-preference-optimization-on-habana-gaudi2-a1197d8a3cd3,Described in on HuggingFace model card and a Medium post,closed,https://medium.com/intel-analytics-software/the-practice-of-supervised-finetuning-and-direct-preference-optimization-on-habana-gaudi2-a1197d8a3cd3,A medium post is apparently the only scientific documentation of this model,closed,,No peer-reviewed paper found,partial,https://huggingface.co/Intel/neural-chat-7b-v3-1,No model card for Mistral base model portion.,partial,https://huggingface.co/datasets/Open-Orca/OpenOrca,SlimOrca dataset is described as part of OpenOrca (but partial since Mistral data is incrutable),partial,https://huggingface.co/Intel/neural-chat-7b-v3-1#fp32-inference-with-transformers,Code for running with transformers provided by Intel,closed,,"Provided through HuggingFace but model too large to run via inference API, local deployment or paid access needed",/projects/neuralchat-7b.yaml,7.0
https://huggingface.co/lmsys/vicuna-13b-v1.3,Vicuna is a chat assistant trained by fine-tuning LLaMA on user-shared conversations collected from ShareGPT.,LLaMA,ShareGPT,Non-commercial license,LMSYS,https://lmsys.org/,"According to its website, 'The Large Model Systems Organisation develops large models and systems that are open, accessible and scalable'",open,https://github.com/lm-sys/FastChat,Actively maintained repository,partial,https://github.com/facebookresearch/llama/blob/main/MODEL_CARD.md#training-dataset,"Vicuna is fine-tuned LLaMA, and LLaMA in turn is based on 'publicly available datasets' that are not all specified or easily downloadable.",open,https://github.com/lm-sys/FastChat#vicuna-weights,"Unlike Vicuna 13B v0, these weights do not require applying delta",closed,https://github.com/lm-sys/FastChat#fine-tuning,From the documentation 'We will not release the ShareGPT dataset'. Also 'Vicuna v1.3 is fine-tuned from LLaMA with supervised instruction fine-tuning. The training data is around 140K conversations collected from ShareGPT.com.',closed,https://github.com/lm-sys/FastChat#fine-tuning,No model weights are shared for the instruction tuning,partial,https://github.com/lm-sys/FastChat#vicuna-weights,From the documentation 'Vicuna is based on LLaMA and should be used under LLaMA's model license.',open,https://github.com/lm-sys/FastChat,Code is quite well-documented and released as part of the FastChat framework.,closed,,,open,https://arxiv.org/pdf/2306.05685.pdf,Preprint covers training of the Vicuna model.,closed,,No peer-reviewed paper.,partial,https://huggingface.co/lmsys/vicuna-13b-v1.3,"Minimal model card, but many details are not provided or have to be pieced together from elsewhere.",closed,,No datasheet provided.,open,https://pypi.org/project/fschat/0.1.2/,Available via pip,partial,https://github.com/lm-sys/FastChat#api,"Support provided for several APIs OpenAI restful, HuggingFace, Langchain",/projects/vicuna13B-lmsys.yaml,7.0
hhttps://github.com/ethanyanjiali/minChatGPT,,GPT2,anthropic,GNU General Public License v3.0,ethanyanjiali,https://github.com/ethanyanjiali/minChatGPT,,open,,,open,,,open,,,partial,,,closed,,,open,,,open,,,partial,,,closed,,,closed,,,closed,,,closed,,,closed,,,open,,,/projects/minChatGPT.yaml,7.0
https://github.com/BlinkDL/ChatRWKV,,RWKV-LM,"alpaca, shareGPT (synthetic)",,BlinkDL/RWKV,https://www.rwkv.com/,,open,https://github.com/BlinkDL/ChatRWKV,Various community-contributed enhancements available,partial,https://pile.eleuther.ai/,Trained on The Pile. Recent versions also build on Red Pajama (https://huggingface.co/datasets/togethercomputer/RedPajama-Data-1T),open,https://huggingface.co/BlinkDL/rwkv-4-world/tree/main,Model weights released across different HuggingFace spaces,closed,,"Instruction tuning data not separately available. Documentation 'These are RWKV-4-Pile 1.5/3/7/14B models finetuned on Alpaca, CodeAlpaca, Guanaco, GPT4All, ShareGPT and more'",closed,,Weights not separately available.,open,https://github.com/BlinkDL/ChatRWKV/blob/main/LICENSE,Apache 2.0,partial,,Code documentation scattered across github repo and HuggingFace spaces,partial,,Architecture described in preprint (LM part) but not all details clearly documented.,partial,https://arxiv.org/abs/2305.13048,"Preprint covers only LLM (RNN based), not instruction fine-tuning, so partial.",closed,,No peer-reviewed paper or published data audit known,closed,https://huggingface.co/BlinkDL/rwkv-4-raven,"No modelcard, HuggingFace spaces only used to share files",closed,https://huggingface.co/BlinkDL/rwkv-4-raven,"No data sheet, HuggingFac spaces only used to share files",open,https://pypi.org/project/rwkv/,Available through pip install rwkv,partial,,API via HuggingFace,/projects/ChatRWKV.yaml,6.5
https://github.com/LianjiaTech/BELLE,,LLaMA & BLOOMZ,"alpaca, shareGPT, Belle (synthetic)",Apache License 2.0,KE Technologies,http://www.ke.com,,open,https://github.com/LianjiaTech/BELLE,Repository contains a fair bit of code,partial,,"Open for variants based on BLOOMZ. Closed for variants based on LLaMA, whose pretraining data is nowhere disclosed or documented.",partial,,LLaMA based but copyright status unclear,partial,https://github.com/LianjiaTech/BELLE/tree/main/data/1.5M,Synthetic BELLE training data in Chinese released in batches,partial,https://github.com/LianjiaTech/BELLE/tree/main/models,"Some models available, most only as delta weights requiring separate access to LLaMA",closed,,Lowest common denominator is non-OSI approved LLaMA licence agreement,partial,https://github.com/LianjiaTech/BELLE/blob/main/README_en.md,"Quite some documentation on Github, though not all well-organized",open,https://github.com/LianjiaTech/BELLE/blob/main/README_en.md,Specified in a fair bit of detail on github,open,https://arxiv.org/abs/2303.14742,,closed,,No peer-reviewed paper found,closed,,No model card found,partial,,No data sheet found,closed,,No dedicated package available,closed,,No API found,/projects/BELLE.yaml,6.0
https://huggingface.co/microsoft/Phi-3-mini-128k-instruct,,Phi3,Unspecified,MIT License,Microsoft,https://huggingface.co/microsoft/Phi-3-mini-128k-instruct,,closed,,"No source code found for pretraining, posttraining, or evaluation",closed,,No datasets made available and no information on datasets disclosed except very generic claims about filtering for high quality.,closed,,No base model of the instruction-tuned Phi-3 was released,closed,,No post-training datasets made available and no information on datasets disclosed except very generic claims about filtering for high quality.,open,https://huggingface.co/microsoft/Phi-3-mini-128k-instruct/tree/main,Instruction-tuned model weights shared through HuggingFace,open,https://huggingface.co/microsoft/Phi-3-mini-128k-instruct/blob/main/LICENSE,MIT License,closed,,"No source code, so no documentation of source code found",open,https://arxiv.org/abs/2404.14219,Architecture described in model card and preprint,partial,https://arxiv.org/abs/2404.14219,"Preprint describes model architecture but not training data, focusing mostly on benchmarks and evalution",closed,,No paper found,open,https://huggingface.co/microsoft/Phi-3-mini-128k-instruct/blob/main/LICENSE,Model card provides reasonable level of detail,closed,,No datasheet made available,partial,,Available through development version of transformers,open,,Available through HuggingFace API,/projects/phi-3-instruct.yaml,6.0
https://huggingface.co/WizardLM/WizardLM-13B-V1.2,Empowering Large Pre-Trained Language Models to Follow Complex Instructions,LLaMA2-13B,Evol-Instruct (synthetic),CC-BY-NC-4.0,Microsoft & Peking University,https://github.com/nlpxucan,,partial,https://github.com/nlpxucan/WizardLM/tree/main/WizardLM,Fast-evolving repository contains WizardLM code,closed,https://github.com/opening-up-chatgpt/opening-up-chatgpt.github.io/blob/main/projects/llama-2-chat.yaml,"Based on LLaMA2, which is claimed to be public but nowhere exactly documented.",partial,https://ai.meta.com/resources/models-and-libraries/llama-downloads/,"Based on LLaMA2 weights, which are made conditionally available by Meta.",open,https://huggingface.co/datasets/WizardLM/WizardLM_evol_instruct_V2_196k,The Evol-Instruct V2 dataset contains 196k instruction-following sequences generated from Evol-Instruct,open,https://huggingface.co/WizardLM/WizardLM-13B-V1.2,Model weights offered in HuggingFace repository,partial,https://github.com/nlpxucan/WizardLM/blob/main/WizardLM/MODEL_DIFF_LICENSE,"Restricted for academic research purposes only. Code and Model diff release under CC-BY-NC-4.0, software code under Apache 2.0",partial,https://github.com/nlpxucan/WizardLM/tree/main/WizardLM,"Code is only partially documented, not clearly versioned, and appears to be in flux.",open,https://arxiv.org/abs/2304.12244,Architecture described in preprint and partly accessible in code repository,open,https://arxiv.org/abs/2304.12244,Preprint describes method for creating large amounts of LLM-based synthetic RLHF data and fine-tuning WizardLM based on it,closed,,No peer-reviewed paper or data audit found,closed,https://huggingface.co/WizardLM/WizardLM-13B-V1.2,Model card is only a placeholder and generates an error (missing yaml metadata),closed,https://huggingface.co/datasets/WizardLM/WizardLM_evol_instruct_V2_196k,Dataset card for Evol-Instruct generates an error,closed,,No package available,closed,,No API available,/projects/wizardlm-13B.yaml,6.0
https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-1.4.1,,Llama2,Airoboros (synthetic),Purposely left ambiguous,Jon Durbin,https://github.com/jondurbin,Only active on GitHub since May 2023,partial,https://gist.github.com/jondurbin/87fc040b92a3073125ed516b04bc6e19,Repo exists for RL data but only a gist exists for model training and architecture,closed,,Llama2 training data is nowhere documented or disclosed,partial,,"Llama2, made conditionally available by Meta",open,https://github.com/jondurbin/airoboros,"Airoboros, an implementation of the Self-Instruct paper",open,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-1.4.1/tree/main,Made available through HuggingFace,partial,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-1.4.1#licence-and-usage-restrictions,Licensing left ambiguous because of murky status of OpenAI-derived Self-Instruct data,partial,,What little code available is not very systematically documented,partial,https://huggingface.co/jondurbin/airoboros-l2-70b-gpt4-1.4.1/discussions/2#64c29e4c617b36543dedac9a,Some info can be gleaned at link but most remains undocumented,closed,,No preprint found,closed,,No peer-reviewed paper found,partial,https://huggingface.co/jondurbin/airoboros-65b-gpt4-1.4,Instructs reader to look up model card for prior 65B Llama1 version,partial,https://huggingface.co/datasets/jondurbin/airoboros-gpt4-1.4.1,Datasheet for RL data only,closed,,No package found,closed,,No API found,/projects/airoboros.yaml,5.5
